,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified,variant
18,ada,0.9183168316831684,0.83125,0.8783783783783784,2.0,"{'classifier__learning_rate': 0.014873521072935119, 'classifier__n_estimators': 161}",2018-07-18 01:37:59,V3
19,ann,0.9504950495049505,0.80625,0.8243243243243243,2.0,"{'classifier__activation': 'relu', 'classifier__alpha': 1.2000000000000002, 'classifier__hidden_layer_sizes': (100, 100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-18 01:38:01,V3
20,gnb,0.8787128712871287,0.80625,0.8918918918918919,2.0,{'classifier__priors': None},2018-07-18 01:38:01,V3
21,knn,0.8985148514851485,0.78125,0.8243243243243243,2.0,"{'classifier__n_neighbors': 60, 'classifier__p': 1, 'classifier__weights': 'uniform'}",2018-07-18 01:38:01,V3
22,log,0.8960396039603961,0.8375,0.8513513513513513,2.0,"{'classifier__C': 1.6102620275609394, 'classifier__penalty': 'l2'}",2018-07-18 01:38:01,V3
23,rand_for,0.995049504950495,0.79375,0.8648648648648649,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",2018-07-18 01:38:01,V3
24,svc_lin,0.8910891089108911,0.8125,0.8378378378378378,2.0,{'classifier__C': 1.9952623149688795},2018-07-18 01:38:01,V3
25,svc_rbf,0.9009900990099008,0.79375,0.8918918918918919,2.0,"{'classifier__C': 0.27825594022071259, 'classifier__gamma': 0.001}",2018-07-18 01:38:01,V3
26,xgboost,1.0,0.8125,0.8918918918918919,2.0,"{'classifier__gamma': 0.031622776601683791, 'classifier__learning_rate': 0.20535250264571461, 'classifier__n_estimators': 100}",2018-07-18 01:38:01,V3
27,ada,0.9554455445544554,0.825,0.8243243243243243,2.0,"{'classifier__learning_rate': 0.078804628156699127, 'classifier__n_estimators': 161, 'kbest__k': 30}",2018-07-18 01:52:32,FSSV3
28,ann,1.0,0.8125,0.7432432432432432,2.0,"{'classifier__activation': 'relu', 'classifier__alpha': 0.4, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'adam', 'kbest__k': 15}",2018-07-18 01:52:34,FSSV3
29,gnb,0.8762376237623762,0.8125,0.8243243243243243,2.0,"{'classifier__priors': None, 'kbest__k': 37}",2018-07-18 01:52:34,FSSV3
30,knn,0.9133663366336634,0.75625,0.7432432432432432,2.0,"{'classifier__n_neighbors': 26, 'classifier__p': 2, 'classifier__weights': 'uniform', 'kbest__k': 37}",2018-07-18 01:52:34,FSSV3
31,log,0.8638613861386139,0.8,0.8243243243243243,2.0,"{'classifier__C': 17.433288221999881, 'classifier__penalty': 'l2', 'kbest__k': 15}",2018-07-18 01:52:34,FSSV3
32,rand_for,0.9777227722772276,0.79375,0.8243243243243243,2.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 25, 'kbest__k': 37}",2018-07-18 01:52:34,FSSV3
33,svc_lin,0.8910891089108911,0.81875,0.8243243243243243,2.0,"{'classifier__C': 2.8183829312644537, 'kbest__k': 15}",2018-07-18 01:52:34,FSSV3
34,xgboost,1.0,0.79375,0.7972972972972973,2.0,"{'classifier__gamma': 0.10000000000000001, 'classifier__learning_rate': 0.20535250264571461, 'classifier__n_estimators': 250, 'kbest__k': 15}",2018-07-18 01:52:34,FSSV3
35,gnb,0.8910891089108911,0.7875,0.875,2.0,"{'classifier__priors': None, 'pca__n_components': 4}",2018-07-18 02:52:12,PCA
