,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified,variant
49,ann,0.9058823529411764,0.8636363636363636,0.9375,5.0,"{'classifier__activation': 'tanh', 'classifier__alpha': 1.8, 'classifier__hidden_layer_sizes': (100, 100, 100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-20 22:38:24,5FOLD
50,rand_for,1.0,0.8181818181818182,0.9375,10.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",2018-07-21 02:11:20,10FOLD
51,log,0.9529411764705882,0.8181818181818182,0.9375,10.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",2018-07-21 02:11:28,10FOLD
52,ann,0.9058823529411764,0.8636363636363636,1.0,10.0,"{'classifier__activation': 'identity', 'classifier__alpha': 0.2, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-21 02:34:53,10FOLD
53,rand_for,0.9882352941176472,0.8636363636363636,0.8125,20.0,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 25}",2018-07-21 18:15:46,20FOLD
54,log,0.9529411764705882,0.7727272727272727,0.875,20.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l1'}",2018-07-21 18:15:55,20FOLD
55,ann,0.9294117647058824,0.9090909090909092,0.9375,20.0,"{'classifier__activation': 'identity', 'classifier__alpha': 0.30000000000000004, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-21 19:05:27,20FOLD
56,rand_for,0.9294117647058824,0.8636363636363636,0.875,30.0,"{'classifier__min_samples_leaf': 7, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 50}",2018-07-22 08:41:18,30FOLD
57,log,0.9411764705882352,0.7727272727272727,0.6875,30.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l1'}",2018-07-22 08:41:28,30FOLD
58,ann,0.9294117647058824,0.8181818181818182,0.8125,30.0,"{'classifier__activation': 'identity', 'classifier__alpha': 1.1, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'sgd'}",2018-07-22 09:55:20,30FOLD
59,ada,0.8117647058823529,0.7272727272727273,0.75,2.0,"{'classifier__learning_rate': 0.0035622478902624442, 'classifier__n_estimators': 101}",2018-07-25 12:41:00,2FOLDMCC
60,ada,1.0,0.8636363636363636,0.625,10.0,"{'classifier__learning_rate': 0.078804628156699127, 'classifier__n_estimators': 141}",2018-07-25 12:57:30,10FOLDMCC
61,ada,1.0,0.8636363636363636,0.7391304347826086,10.0,"{'classifier__learning_rate': 0.078804628156699127, 'classifier__n_estimators': 181}",2018-07-25 13:15:29,10FOLDMCC
62,ada,1.0,0.8181818181818182,0.6956521739130435,10.0,"{'classifier__learning_rate': 0.038566204211634723, 'classifier__n_estimators': 341}",2018-07-25 14:53:19,10FOLDMCC
63,ada,1.0,0.8636363636363636,0.6956521739130435,10.0,"{'classifier__learning_rate': 0.048939009184774937, 'classifier__n_estimators': 341}",2018-07-25 22:50:36,10FOLDMCC
